unique_id,agency_name
25747,
25748,
25746,Mendocino County Sheriff's Office
25749,Eddy County Sheriff's Office
1,Sacramento Police Department
2,DeKalb County Sheriff's Office
25750,Kinston Police Department
25751,Kinston Police Department
28711,"Bloomingdale Police Department, Garden City Police Department"
28712,"Bloomingdale Police Department, Garden City Police Department"
19512,Uniontown Police Department
25752,Baltimore Police Department
25753,Baltimore Police Department
5,Atlanta Police Department
25754,Suwannee County Sheriff's Office
22610,Memphis Police Department
22611,Memphis Police Department
3,Bloomington Police Department
4,Dothan Police Department
6,York Police Department
8,"San Bernardino Police Department, San Bernardino County Sheriff's Office"
22260,"Norfolk Police Department, Virginia State Police"
20792,Eastpointe Police Department
7,"North Carolina State Highway Patrol, Charlotte-Mecklenburg Police Department"
10,Downey Police Department
9,Scioto County Sheriff's Office
22241,Hanover County Sheriff's Office
22242,"Gloucester County Sheriff's Office, Virginia State Police"
22243,"Gloucester County Sheriff's Office, Virginia State Police"
12,Salt Lake City Police Department
11,Savannah-Chatham Metropolitan Police Department
13,Riverside County Sheriff's Department
25755,Lexington County Sheriff's Office
19347,Philadelphia Police Department
14,Lower Merion Township Police Department
19348,Penn Hills Police Department
25756,Oakland Park Police Department
15,Hillsborough County Sheriff's Office
16,Midwest City Police Department
17,Garland Police Department
21360,Clifton Police Department
21446,Baltimore Police Department
18,Jackson Police Department
19,U.S. Federal Bureau of Investigation
20,Modesto Police Department
21,Colby Police Department
28738,
28739,
22,"California Highway Patrol, Los Angeles Police Department"
22244,Henrico County Division of Police
19349,Pennsylvania State Police
25,City of New York Police Department
23,Reno Police Department
24,Joliet Police Department
26,Atlanta Police Department
27,"Arizona Department of Public Safety, Phoenix Police Department"
25757,Cleveland Police Department
29,Oxford County Sheriff's Office
28,Kansas City Police Department
30,Bryant Police Department
31,Phoenix Police Department
25758,Taunton Police Department
25759,Taunton Police Department
19350,Philadelphia Police Department
32,Columbus Division of Police
25760,Bexar County Sheriff's Office
33,Albuquerque Police Department
34,Honolulu Police Department
20793,Waterford Township Police Department
38,Oakland Police Department
37,Jersey City Police Department
35,Jefferson County Sheriff's Office
36,Providence Police Department
39,Grand Island Police Department
40,"U.S. Bureau of Indian Affairs, Seminole Nation Police Department"
42,Phoenix Police Department
41,San Diego Police Department
43,San Diego County Sheriff's Office
