unique_id,injury_address,death_city,state,death_zip,death_county,full_address,latitude,longitude
25747,Davison Freeway,Detroit,MI,48203.0,Wayne,Davison Freeway Detroit MI 48203 Wayne,42.4045258,-83.0922741
25748,Davison Freeway,Detroit,MI,48203.0,Wayne,Davison Freeway Detroit MI 48203 Wayne,42.4045258,-83.0922741
25746,27898-27804 US-101,Willits,CA,95490.0,Mendocino,27898-27804 US-101 Willits CA 95490 Mendocino,39.4708829,-123.3617513
25749,600 W Cherry Ln,Carlsbad,NM,88220.0,Eddy,600 W Cherry Ln Carlsbad NM 88220 Eddy,32.4500798,-104.2376427
1,5700 block Mack Road,Sacramento,CA,95823.0,Sacramento,5700 block Mack Road Sacramento CA 95823 Sacramento,38.4739487,-121.4337757
2,4850 Flakes Mill Road,Ellenwood,GA,30294.0,DeKalb,4850 Flakes Mill Road Ellenwood GA 30294 DeKalb,33.645164,-84.2294129
25750,Pollock Street,Kinston,NC,28501.0,Lenoir,Pollock Street Kinston NC 28501 Lenoir,35.271507,-77.587332
25751,Pollock Street,Kinston,NC,28501.0,Lenoir,Pollock Street Kinston NC 28501 Lenoir,35.271507,-77.587332
28711,I-16 & Chatham Parkway,Savannah,GA,31405.0,Chatham,I-16 & Chatham Parkway Savannah GA 31405 Chatham,32.069274,-81.165027
28712,I-16 & Chatham Parkway,Savannah,GA,31405.0,Chatham,I-16 & Chatham Parkway Savannah GA 31405 Chatham,32.069274,-81.165027
19512,107 South Grant St.,Uniontown,PA,15401.0,Fayette,107 South Grant St. Uniontown PA 15401 Fayette,39.8944106,-79.7186111
25752,391 Park Ave,Baltimore,MD,21201.0,Baltimore City,391 Park Ave Baltimore MD 21201 Baltimore City,39.2939891,-76.6182034
25753,391 Park Ave,Baltimore,MD,21201.0,Baltimore City,391 Park Ave Baltimore MD 21201 Baltimore City,39.2939891,-76.6182034
5,56 Jesse Hill Jr Dr,Atlanta,GA,30303.0,Fulton,56 Jesse Hill Jr Dr Atlanta GA 30303 Fulton,33.7527031,-84.3811976
25754,I-75,White Springs,FL,32096.0,Hamilton,I-75 White Springs FL 32096 Hamilton,30.367324,-82.855828
